Schools,Hospitals,Restaurants,Shopping Malls,Parks,Theaters,Banks,Supermarkets,Metro Stations,Pharmacies,Gyms,Libraries,ATMs,Pet Stores,Electronics Stores,Toy Stores,Bookstores,Hardware Stores,Gas Stations,Hotels,Area,Cluster,Price,amenities
4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,St. Sebastian Road,0,5000000,Low
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Tagore Nagar,1,8000000,Good
3.0,4.0,26.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,26.0,3.0,Achanak Nagar,4,30000000,Best
4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Bharat Nagar,3,20000000,Best
4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Shell Colony,3,20000000,Best
3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,Lohar Chawl,2,10000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,Clive Road,3,20000000,Best
4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Land's End,1,8000000,Good
3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,Jagdusha Nagar,3,20000000,Best
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,Tilak Nagar,3,20000000,Best
3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Best Nagar,3,20000000,Best
3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,Borla village,1,8000000,Good
3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,Kemps Corner,2,10000000,Best
4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Valmiki Nagar,3,20000000,Best
3.0,3.0,25.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,25.0,3.0,Bharti Nagar,4,30000000,Best
5.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,Rizvi Complex,0,5000000,Low
4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Somnath lane,0,5000000,Low
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,28th Road,0,5000000,Low
3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Yadav Nagar,3,20000000,Best
3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,Aram Nagar,0,5000000,Low
4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,Sanjay Nagar,3,20000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,Rajiv Gandhi Nagar,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Buddha Colony,1,8000000,Good
3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Siddharth Colony,3,20000000,Best
3.0,3.0,25.0,2.0,3.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,25.0,3.0,Mhada Colony 19,4,30000000,Best
3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Central Avenue,1,8000000,Good
2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,Nirmal Nagar,3,20000000,Best
3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,Mumbai Central,2,10000000,Best
4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,Anand Park,3,20000000,Best
4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,Santosh Nagar,3,20000000,Best
3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Surya Nagar,1,8000000,Good
4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,Lallubhai Compound,1,8000000,Good
3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,I.C. Colony,3,20000000,Best
4.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Chapel Avenue,0,5000000,Low
3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,Pant Nagar,3,20000000,Best
3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Lower Parel,0,5000000,Low
3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,Patel Estate,2,10000000,Best
4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,Shanti Nagar,1,8000000,Good
4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,Kala Nagar,0,5000000,Low
2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,Model Town,2,10000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,0.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,JB Nagar,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Kohinoor City,3,20000000,Best
4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,Khira Nagar,3,20000000,Best
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Jayprakash Nagar,3,20000000,Best
4.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,Rup Nagar,0,5000000,Low
5.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,Pali Mala Road,0,5000000,Low
3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,Ghatla village,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Bombay Colony,3,20000000,Best
4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,Juhu Koliwada,3,20000000,Best
4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Damu Nagar,1,8000000,Good
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,Kannamwar Nagar,1,8000000,Good
4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NESCO Colony,3,20000000,Best
4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,Vaishali Nagar,3,20000000,Best
